name,release_period,remake,franchise,genre,screens,revenue,budget
Trump Card,Normal,No,No,action,40,10000000,725000
Mumbai Godfather,Normal,No,No,action,20,10000000,2200000
Royal Utsav,Holiday,No,No,action,40,30000000,1800000
Challo Driver,Normal,No,No,comedy,50,30000000,1275000
Kool Nahi Hot Hain Hum,Holiday,No,No,comedy,6,3000000,425000
Pehla Aashiq Pehla Qatil,Holiday,No,No,adult,2,1000000,175000
Kaagaz Ke Fools,Normal,No,No,comedy,300,40000000,4800000
Tere Mere Phere,Holiday,No,No,comedy,225,47500000,7000000
Straight,Normal,No,No,comedy,125,42500000,14800000
Bheja Fry,Holiday,No,No,comedy,120,15000000,125800000
Bheja Fry 2,Normal,No,Yes,comedy,575,95000000,124900000
Pappu Can't Dance Saala,Normal,No,No,rom__com,275,85000000,6000000
Dasvidaniya,Normal,No,No,comedy,150,40000000,19700000
Chalo Dilli,Holiday,No,No,comedy,725,95000000,145132500
Oh. My God!!,Normal,No,No,comedy,150,35000000,5800000
Utt Pataang,Normal,No,No,comedy,225,55000000,5500000
Speedy Singhs,Normal,No,No,drama,450,350000000,34400000
Broken Horses,Normal,No,No,thriller,175,600000000,10130000
Queens! Destiny Of Dance,Holiday,No,No,drama,40,20000000,800000
Filmi Duniya,Normal,No,No,drama,5,5000000,425000
Koyelaanchal,Holiday,No,No,action,900,140000000,22900000
Fast Forward,Holiday,No,No,drama,40,25000000,525000
Gopa - The Freedom Fighter,Holiday,No,No,drama,1,2500000,400000
Gafla,Holiday,No,No,drama,25,12500000,1600000
Tum Hi To Ho,Normal,No,No,thriller,35,10000000,550000
Amit Sahni Ki List,Normal,No,No,rom__com,450,70000000,7600000
Gollu Aur Pappu,Holiday,No,No,comedy,15,35000000,65000
Mumbai Salsa,Holiday,No,No,drama,70,3500000,7900000
Sooper Se Ooper,Normal,No,No,comedy,100,20000000,1200000
Bacche Mann Ke Sacche,Holiday,No,No,drama,5,2000000,235000
Shootout At Lokhandwala,Normal,No,No,action,800,180000000,460430000
Mission Istaanbul,Normal,No,No,thriller,700,210000000,93425000
Pyare Mohan,Holiday,No,No,comedy,400,130000000,186100000
Prince,Normal,No,No,thriller,1200,370000000,289425000
Rakht Charitra,Holiday,No,No,action,775,190000000,112700000
Naksha,Normal,No,No,action,425,220000000,99250000
Kismet Love Paisa Dilli,Normal,No,No,rom__com,825,160000000,32700000
Kisna,Holiday,No,No,love_story,400,230000000,162950000
Home Delivery,Normal,No,No,rom__com,100,40000000,26450000
Jayantabhai Ki Love Story,Holiday,No,No,rom__com,700,145000000,39225000
Impatient Vivek,Normal,No,No,rom__com,125,22500000,1675000
Cocktail - The Deadly Combination,Holiday,No,No,drama,3,6000000,650000
Ishq Na Karna,Holiday,No,No,drama,5,6500000,500000
Ussey Kya Ho Jayega?,Holiday,No,No,drama,5,2500000,50000
Lagan - The Dedication,Normal,No,No,drama,2,2500000,7250
Jugatiya,Holiday,No,No,drama,2,500000,115000
Pyaar Kaa Funda,Holiday,No,No,love_story,10,12500000,70000
Ab To Sambhal,Normal,No,No,drama,2,2000000,300000
Memsahab,Normal,No,No,drama,20,17500000,1875000
Secret Superstar,Holiday,No,No,drama,1750,450000000,1225350000
Satrangee Parachute,Holiday,No,No,drama,150,20000000,1225000
Aksar 2,Normal,No,Yes,thriller,1300,90000000,63600000
Hate Story 3,Normal,No,Yes,thriller,2600,200000000,622125000
Sharafat Gayi Tel Lene,Normal,No,No,comedy,450,70000000,5700000
Love Breakups Zindagi,Normal,No,No,love_story,325,100000000,20600000
Rocky,Normal,No,No,drama,225,92500000,30400000
Speed,Holiday,Yes,No,thriller,200,90000000,15800000
Fight Club,Holiday,No,No,action,375,82500000,88862500
Strings Of Paasion,Normal,No,No,drama,10,8000000,70000
Dunno Y Na Jaane Kyun,Normal,No,No,drama,20,12500000,850000
Taj Mahal - An Eternal Love Story,Normal,No,No,drama,135,100000000,31065000
Mr. Hot Mr. Kool,Normal,No,No,comedy,30,27500000,1300000
